Ticker,Price in $,Quantity,Date of purchase
SBH,18.92,10000,2021-08-02
IMAQ,10.00,714400,2021-08-02
EQT,17.83,28000,2021-08-02
AAT,36.76,29623,2021-08-02
ARC,2.25,47070,2021-08-02
EQT,17.80,14887,2021-08-02
CETY,0.01,25000000,2021-07-30
PFBX,16.00,22565,2021-07-30
MNRO,59.39,5000,2021-07-30
MBIO,2.91,86206,2021-07-30
MINM,2.50,200000,2021-07-29
ADM,59.54,16790,2021-07-29
NCBS,72.95,7000,2021-07-29
CADL,8.00,25000,2021-07-29
WMPN,11.90,8413,2021-07-28
PHGE,4.00,25000,2021-07-28
NBTB,34.91,5735,2021-07-28
SUI,194.20,234934,2021-07-28
ABCB,46.71,2500,2021-07-27
CSTR,21.00,8000,2021-07-27
PQE,0.12,1875000,2021-07-27
SSB,70.00,1500,2021-07-26
PYCR,23.00,10000,2021-07-23
HCWB,8.00,627500,2021-07-22
HCWB,8.00,25000,2021-07-22
CLOE,10.00,571859,2021-07-22
AIRT,28.01,4591,2021-07-21
INST,20.00,26250,2021-07-21
INST,20.00,10373,2021-07-21
